Name,Victories,2nd Places,3rd Places,Pole Positions,Race Fastest Lap,World Championships,Nationaility
VALENTINO ROSSI,89,61,49,55,76,7,Italian
GIACOMO AGOSTINI,68,20,,6,69,8,Italian
MARC MARQUEZ,57,29,10,62,57,6,Spanish
MICK DOOHAN,54,31,10,58,46,5,Australian
JORGE LORENZO,47,44,23,43,30,3,Spanish
CASEY STONER,38,11,20,39,29,2,Australian
MIKE HAILWOOD,37,9,2,,37,4,British
DANI PEDROSA,31,40,41,31,44,,Spanish
EDDIE LAWSON,31,31,16,18,21,4,American
KEVIN SCHWANTZ,25,13,13,29,26,1,American
WAYNE RAINEY,24,22,18,15,22,3,American
KENNY ROBERTS,22,12,5,18,24,3,American
GEOFF DUKE,22,5,5,,21,4,British
JOHN SURTEES,22,2,,,20,4,British
FREDDIE SPENCER,20,9,2,27,18,2,American
BARRY SHEENE,19,10,11,19,18,2,British
WAYNE GARDNER,18,20,14,19,19,1,Australian
ANDREA DOVIZIOSO,15,21,26,7,11,,Italian
ALEX CRIVILLE,15,16,20,9,14,1,Spanish
MAX BIAGGI,13,26,19,23,14,,Italian
RANDY MAMOLA,13,22,19,5,12,,American
PHIL READ,11,13,10,4,3,2,British
LORIS CAPIROSSI,9,14,19,13,10,,Italian
SETE GIBERNAU,9,14,7,13,8,,Spanish
MAVERICK VIÑALES,9,7,12,13,10,,Spanish
LUCA CADALORA,8,9,7,8,6,,Italian
KENNY ROBERTS JR.,8,7,7,10,9,1,American
GARY HOCKING,8,1,2,,10,1,Zambian
ALEX BARROS,7,11,14,5,14,,Brazilian
FABIO QUARTARARO,7,5,5,15,8,,French
MARCO LUCCHINELLI,6,7,6,9,9,1,Italian
UMBERTO MASETTI,6,7,4,,1,2,Italian
MARCO MELANDRI,5,6,9,,3,Italian
LESLIE GRAHAM,5,3,,,6,1,British
WIL HARTOG,5,2,5,,2,Dutch
FRANCO UNCINI,5,1,5,1,1,1,Italian
TADAYUKI OKADA,4,10,7,7,7,,Japanese
JOHN KOCINSKI,4,8,7,9,4,,American
REG ARMSTRONG,4,6,6,,1,British
LIBERO LIBERATI,4,3,1,,1,1,Italian
JOHN HARTLE,3,10,4,,1,British
JACK FINDLAY,3,9,12,1,1,,Australian
DARYL BEATTIE,3,7,4,,1,Australian
ALBERTO PAGANI,3,7,3,,,Italian
NICKY HAYDEN,3,6,19,5,7,1,American
CAL CRUTCHLOW,3,6,10,4,4,British
ALEX RINS,3,6,3,,5,Spanish
PAT HENNEN,3,5,4,,,American
NORICK ABE,3,4,10,,1,Japanese
ALFREDO MILANI,3,4,2,,3,Italian
JOHNNY CECOTTO,3,4,1,12,4,Venezuelan
JACK MILLER,3,3,7,1,2,Australian
MIGUEL OLIVEIRA,3,2,,1,2,Portuguese
GARRY MCCOY,3,1,6,1,1,Australian
FRANCO MORBIDELLI,3,1,2,2,1,Italian
CARLOS CHECA,2,14,8,3,5,Spanish
VIRGINIO FERRARI,2,6,2,1,3,Italian
DANILO PETRUCCI,2,4,4,,2,Italian
RAY AMM,2,3,2,,3,British
NELLO PAGANI,2,2,5,,2,Italian
MAKOTO TAMADA,2,1,2,3,2,Japanese
JACK MIDDELBURG,2,1,1,2,1,Dutch
FERGUS ANDERSON,2,1,,,2,Australian
JARNO SAARINEN,2,,,,3,Finnish
BRAD BINDER,2,,,,2,South African
JIM REDMAN,2,,,,1,Kenyan
REMO VENTURI,1,9,1,,2,Italian
TEUVO LANSIVUORI,1,6,4,7,5,Finnish
BOB MCINTYRE,1,5,2,,3,British
JOAN MIR,1,4,6,,1,1,Spanish
KEN KAVANAGH,1,4,4,,3,Australian
ALAN SHEPHERD,1,4,4,,,British
ANGELO BERGAMONTI,1,4,2,,1,Italian
CHRISTIAN SARRON,1,3,14,6,6,French
TAKAZUMI KATAYAMA,1,3,4,,2,Japanese
CHRIS VERMEULEN,1,3,3,3,1,Australian
GIANFRANCO BONERA,1,3,3,1,2,Italian
WILLIAM DORAN,1,3,1,,,British
ANDREA IANNONE,1,2,8,2,3,Italian
TOHRU UKAWA,1,2,7,1,3,Japanese
BEN SPIES,1,2,3,1,1,American
TONI ELIAS,1,2,3,,3,Spanish
JACK BRETT,1,2,3,,1,Australian
DICKIE DALE,1,2,2,,1,British
HIDEO KANAYA,1,2,2,,1,Japanese
DAVE SIMMONDS,1,2,2,,,British
BOET VAN DULMEN,1,2,1,1,,Dutch
JACK AHEARN,1,1,5,,,American
KIM NEWCOMBE,1,1,4,,,British
PIERRE MONNERET,1,1,3,,,French
CHAS MORTIMER,1,1,2,,,British
SIMON CRAFER,1,1,1,1,2,Australian
BENEDETTO CALDARELLA,1,1,1,,2,Italian
